product,year,region,scenario,scope,unit,name,emissivity_type,emission_factor_n2o
Ammonia,2039,Middle East,FA,3_downstream,tN2O/tNH3,Ammonia,,0.0104978823529411
Ammonia,2039,Rest of Asia,FA,3_downstream,tN2O/tNH3,Ammonia,,0.0131223529411764
Ammonia,2039,India,FA,3_downstream,tN2O/tNH3,Ammonia,,0.0122759999999999
Ammonia,2039,Oceania,FA,3_downstream,tN2O/tNH3,Ammonia,,0.0100630867747397
Ammonia,2039,Russia,FA,3_downstream,tN2O/tNH3,Ammonia,,0.0100941176470588
Ammonia,2039,Europe,FA,3_downstream,tN2O/tNH3,Ammonia,,0.0042755681470621
Ammonium nitrate,2039,China,,1,tN2O/tAN,Nitric acid,0.0,0.0047232112739402
Ammonium nitrate,2039,Rest of Asia,,1,tN2O/tAN,Nitric acid,0.0,0.0047232112739402
Ammonium nitrate,2039,North America,,1,tN2O/tAN,Nitric acid,0.0,0.0047232112739402
Ammonium nitrate,2039,Russia,,1,tN2O/tAN,Nitric acid,0.0,0.0047232112739402
Ammonium nitrate,2039,Europe,,1,tN2O/tAN,Nitric acid,0.0,0.0047232112739402
Ammonium nitrate,2039,India,,1,tN2O/tAN,Nitric acid,0.0,0.0047232112739402
Ammonium nitrate,2039,Middle East,,1,tN2O/tAN,Nitric acid,0.0,0.0047232112739402
Ammonium nitrate,2039,Africa,,1,tN2O/tAN,Nitric acid,0.0,0.0047232112739402
Ammonium nitrate,2039,Latin America,,1,tN2O/tAN,Nitric acid,0.0,0.0047232112739402
Ammonium nitrate,2039,Oceania,,1,tN2O/tAN,Nitric acid,0.0,0.0047232112739402
Ammonium nitrate,2039,Brazil,,1,tN2O/tAN,Nitric acid,0.0,0.0047232112739402
Ammonium nitrate,2039,Saudi Arabia,,1,tN2O/tAN,Nitric acid,0.0,0.0047232112739402
Ammonium nitrate,2039,Namibia,,1,tN2O/tAN,Nitric acid,0.0,0.0047232112739402
Ammonium nitrate,2039,Australia,,1,tN2O/tAN,Nitric acid,0.0,0.0047232112739402
Urea,2039,Brazil,"BAU,LC",3_downstream,tN2O/tUrea,Urea,0.0,0.005872811928453
Ammonium nitrate,2039,Brazil,"BAU,LC",3_downstream,tN2O/tAN,Ammonium nitrate,0.0,0.0044174963047992
Ammonia,2039,Brazil,"BAU,LC",3_downstream,tN2O/tNH3,Ammonia,,0.0103810587323537
Urea,2039,Brazil,FA,3_downstream,tN2O/tUrea,Urea,,0.005872811928453
Ammonium nitrate,2039,Brazil,FA,3_downstream,tN2O/tAN,Ammonium nitrate,,0.0044174963047992
Ammonia,2039,Brazil,FA,3_downstream,tN2O/tNH3,Ammonia,,0.0103810587323537
Urea,2039,Saudi Arabia,"BAU,LC",3_downstream,tN2O/tUrea,Urea,0.0,0.0059389018302828
Ammonium nitrate,2039,Saudi Arabia,"BAU,LC",3_downstream,tN2O/tAN,Ammonium nitrate,0.0,0.004467208759527
Ammonia,2039,Saudi Arabia,"BAU,LC",3_downstream,tN2O/tNH3,Ammonia,,0.0104978823529411
Urea,2039,Saudi Arabia,FA,3_downstream,tN2O/tUrea,Urea,,0.0059389018302828
Ammonium nitrate,2039,Saudi Arabia,FA,3_downstream,tN2O/tAN,Ammonium nitrate,,0.004467208759527
Ammonia,2039,Saudi Arabia,FA,3_downstream,tN2O/tNH3,Ammonia,,0.0104978823529411
Urea,2039,Namibia,"BAU,LC",3_downstream,tN2O/tUrea,Urea,0.0,0.0056665557404326
Ammonium nitrate,2039,Namibia,"BAU,LC",3_downstream,tN2O/tAN,Ammonium nitrate,0.0,0.004262351553099
Ammonia,2039,Namibia,"BAU,LC",3_downstream,tN2O/tNH3,Ammonia,,0.0100164705882352
Urea,2039,Namibia,FA,3_downstream,tN2O/tUrea,Urea,,0.0056665557404326
Ammonium nitrate,2039,Namibia,FA,3_downstream,tN2O/tAN,Ammonium nitrate,,0.004262351553099
Ammonia,2039,Namibia,FA,3_downstream,tN2O/tNH3,Ammonia,,0.0100164705882352
Urea,2039,Australia,"BAU,LC",3_downstream,tN2O/tUrea,Urea,0.0,0.0056929276263087
Ammonium nitrate,2039,Australia,"BAU,LC",3_downstream,tN2O/tAN,Ammonium nitrate,0.0,0.0042821883382417
Ammonia,2039,Australia,"BAU,LC",3_downstream,tN2O/tNH3,Ammonia,,0.0100630867747397
Urea,2039,Australia,FA,3_downstream,tN2O/tUrea,Urea,,0.0056929276263087
Ammonium nitrate,2039,Australia,FA,3_downstream,tN2O/tAN,Ammonium nitrate,,0.0042821883382417
Ammonia,2039,Australia,FA,3_downstream,tN2O/tNH3,Ammonia,,0.0100630867747397
Urea,2040,China,"BAU,LC",3_downstream,tN2O/tUrea,Urea,0.0,0.0063474209650582
Urea,2040,North America,"BAU,LC",3_downstream,tN2O/tUrea,Urea,0.0,0.0057412129980287
Urea,2040,Rest of Asia,"BAU,LC",3_downstream,tN2O/tUrea,Urea,0.0,0.0074236272878535
Urea,2040,Russia,"BAU,LC",3_downstream,tN2O/tUrea,Urea,0.0,0.0057104825291181
Urea,2040,Europe,"BAU,LC",3_downstream,tN2O/tUrea,Urea,0.0,0.0056841264559068
Urea,2040,India,"BAU,LC",3_downstream,tN2O/tUrea,Urea,0.0,0.0069448252911813
Urea,2040,Middle East,"BAU,LC",3_downstream,tN2O/tUrea,Urea,0.0,0.0059389018302828
Urea,2040,Africa,"BAU,LC",3_downstream,tN2O/tUrea,Urea,0.0,0.0056665557404326
Urea,2040,Latin America,"BAU,LC",3_downstream,tN2O/tUrea,Urea,0.0,0.005872811928453
Urea,2040,Oceania,"BAU,LC",3_downstream,tN2O/tUrea,Urea,0.0,0.0056929276263087
Ammonium nitrate,2040,China,"BAU,LC",3_downstream,tN2O/tAN,Ammonium nitrate,0.0,0.004774494569169
Ammonium nitrate,2040,North America,"BAU,LC",3_downstream,tN2O/tAN,Ammonium nitrate,0.0,0.0043185083249444
Ammonium nitrate,2040,Rest of Asia,"BAU,LC",3_downstream,tN2O/tAN,Ammonium nitrate,0.0,0.0055840109494088
Ammonium nitrate,2040,Russia,"BAU,LC",3_downstream,tN2O/tAN,Ammonium nitrate,0.0,0.0042953930380067
Ammonium nitrate,2040,Europe,"BAU,LC",3_downstream,tN2O/tAN,Ammonium nitrate,0.0,0.0042755681470621
Ammonium nitrate,2040,India,"BAU,LC",3_downstream,tN2O/tAN,Ammonium nitrate,0.0,0.0052238587639143
Ammonium nitrate,2040,Middle East,"BAU,LC",3_downstream,tN2O/tAN,Ammonium nitrate,0.0,0.004467208759527
Ammonium nitrate,2040,Africa,"BAU,LC",3_downstream,tN2O/tAN,Ammonium nitrate,0.0,0.004262351553099
Ammonium nitrate,2040,Latin America,"BAU,LC",3_downstream,tN2O/tAN,Ammonium nitrate,0.0,0.0044174963047992
Ammonium nitrate,2040,Oceania,"BAU,LC",3_downstream,tN2O/tAN,Ammonium nitrate,0.0,0.0042821883382417
Ammonia,2040,China,"BAU,LC",3_downstream,tN2O/tNH3,Ammonia,,0.0112199999999999
Ammonia,2040,North America,"BAU,LC",3_downstream,tN2O/tNH3,Ammonia,,0.0101484382700448
Ammonia,2040,Latin America,"BAU,LC",3_downstream,tN2O/tNH3,Ammonia,,0.0103810587323537
Ammonia,2040,Africa,"BAU,LC",3_downstream,tN2O/tNH3,Ammonia,,0.0100164705882352
Ammonia,2040,Middle East,"BAU,LC",3_downstream,tN2O/tNH3,Ammonia,,0.0104978823529411
Ammonia,2040,Rest of Asia,"BAU,LC",3_downstream,tN2O/tNH3,Ammonia,,0.0131223529411764
Ammonia,2040,India,"BAU,LC",3_downstream,tN2O/tNH3,Ammonia,,0.0122759999999999
Ammonia,2040,Oceania,"BAU,LC",3_downstream,tN2O/tNH3,Ammonia,,0.0100630867747397
Ammonia,2040,Russia,"BAU,LC",3_downstream,tN2O/tNH3,Ammonia,,0.0100941176470588
Ammonia,2040,Europe,"BAU,LC",3_downstream,tN2O/tNH3,Ammonia,,0.0042755681470621
Urea,2040,China,FA,3_downstream,tN2O/tUrea,Urea,,0.0063474209650582
Urea,2040,North America,FA,3_downstream,tN2O/tUrea,Urea,,0.0057412129980287
Urea,2040,Latin America,FA,3_downstream,tN2O/tUrea,Urea,,0.005872811928453
Urea,2040,Africa,FA,3_downstream,tN2O/tUrea,Urea,,0.0056665557404326
Urea,2040,Middle East,FA,3_downstream,tN2O/tUrea,Urea,,0.0059389018302828
Urea,2040,Rest of Asia,FA,3_downstream,tN2O/tUrea,Urea,,0.0074236272878535
Urea,2040,India,FA,3_downstream,tN2O/tUrea,Urea,,0.0069448252911813
Urea,2040,Oceania,FA,3_downstream,tN2O/tUrea,Urea,,0.0056929276263087
Urea,2040,Russia,FA,3_downstream,tN2O/tUrea,Urea,,0.0057104825291181
Urea,2040,Europe,FA,3_downstream,tN2O/tUrea,Urea,,0.0056841264559068
Ammonium nitrate,2040,China,FA,3_downstream,tN2O/tAN,Ammonium nitrate,,0.004774494569169
Ammonium nitrate,2040,North America,FA,3_downstream,tN2O/tAN,Ammonium nitrate,,0.0043185083249444
Ammonium nitrate,2040,Latin America,FA,3_downstream,tN2O/tAN,Ammonium nitrate,,0.0044174963047992
Ammonium nitrate,2040,Africa,FA,3_downstream,tN2O/tAN,Ammonium nitrate,,0.004262351553099
Ammonium nitrate,2040,Middle East,FA,3_downstream,tN2O/tAN,Ammonium nitrate,,0.004467208759527
Ammonium nitrate,2040,Rest of Asia,FA,3_downstream,tN2O/tAN,Ammonium nitrate,,0.0055840109494088
Ammonium nitrate,2040,India,FA,3_downstream,tN2O/tAN,Ammonium nitrate,,0.0052238587639143
Ammonium nitrate,2040,Oceania,FA,3_downstream,tN2O/tAN,Ammonium nitrate,,0.0042821883382417
Ammonium nitrate,2040,Russia,FA,3_downstream,tN2O/tAN,Ammonium nitrate,,0.0042953930380067
Ammonium nitrate,2040,Europe,FA,3_downstream,tN2O/tAN,Ammonium nitrate,,0.0042755681470621
Ammonia,2040,China,FA,3_downstream,tN2O/tNH3,Ammonia,,0.0112199999999999
Ammonia,2040,North America,FA,3_downstream,tN2O/tNH3,Ammonia,,0.0101484382700448
Ammonia,2040,Latin America,FA,3_downstream,tN2O/tNH3,Ammonia,,0.0103810587323537
Ammonia,2040,Africa,FA,3_downstream,tN2O/tNH3,Ammonia,,0.0100164705882352
Ammonia,2040,Middle East,FA,3_downstream,tN2O/tNH3,Ammonia,,0.0104978823529411
Ammonia,2040,Rest of Asia,FA,3_downstream,tN2O/tNH3,Ammonia,,0.0131223529411764
Ammonia,2040,India,FA,3_downstream,tN2O/tNH3,Ammonia,,0.0122759999999999
Ammonia,2040,Oceania,FA,3_downstream,tN2O/tNH3,Ammonia,,0.0100630867747397
Ammonia,2040,Russia,FA,3_downstream,tN2O/tNH3,Ammonia,,0.0100941176470588
Ammonia,2040,Europe,FA,3_downstream,tN2O/tNH3,Ammonia,,0.0042755681470621
Ammonium nitrate,2040,China,,1,tN2O/tAN,Nitric acid,0.0,0.0047232112739402
Ammonium nitrate,2040,Rest of Asia,,1,tN2O/tAN,Nitric acid,0.0,0.0047232112739402
Ammonium nitrate,2040,North America,,1,tN2O/tAN,Nitric acid,0.0,0.0047232112739402
Ammonium nitrate,2040,Russia,,1,tN2O/tAN,Nitric acid,0.0,0.0047232112739402
Ammonium nitrate,2040,Europe,,1,tN2O/tAN,Nitric acid,0.0,0.0047232112739402
Ammonium nitrate,2040,India,,1,tN2O/tAN,Nitric acid,0.0,0.0047232112739402
Ammonium nitrate,2040,Middle East,,1,tN2O/tAN,Nitric acid,0.0,0.0047232112739402
Ammonium nitrate,2040,Africa,,1,tN2O/tAN,Nitric acid,0.0,0.0047232112739402
Ammonium nitrate,2040,Latin America,,1,tN2O/tAN,Nitric acid,0.0,0.0047232112739402
Ammonium nitrate,2040,Oceania,,1,tN2O/tAN,Nitric acid,0.0,0.0047232112739402
Ammonium nitrate,2040,Brazil,,1,tN2O/tAN,Nitric acid,0.0,0.0047232112739402
Ammonium nitrate,2040,Saudi Arabia,,1,tN2O/tAN,Nitric acid,0.0,0.0047232112739402
Ammonium nitrate,2040,Namibia,,1,tN2O/tAN,Nitric acid,0.0,0.0047232112739402
Ammonium nitrate,2040,Australia,,1,tN2O/tAN,Nitric acid,0.0,0.0047232112739402
Urea,2040,Brazil,"BAU,LC",3_downstream,tN2O/tUrea,Urea,0.0,0.005872811928453
Ammonium nitrate,2040,Brazil,"BAU,LC",3_downstream,tN2O/tAN,Ammonium nitrate,0.0,0.0044174963047992
Ammonia,2040,Brazil,"BAU,LC",3_downstream,tN2O/tNH3,Ammonia,,0.0103810587323537
Urea,2040,Brazil,FA,3_downstream,tN2O/tUrea,Urea,,0.005872811928453
Ammonium nitrate,2040,Brazil,FA,3_downstream,tN2O/tAN,Ammonium nitrate,,0.0044174963047992
Ammonia,2040,Brazil,FA,3_downstream,tN2O/tNH3,Ammonia,,0.0103810587323537
Urea,2040,Saudi Arabia,"BAU,LC",3_downstream,tN2O/tUrea,Urea,0.0,0.0059389018302828
Ammonium nitrate,2040,Saudi Arabia,"BAU,LC",3_downstream,tN2O/tAN,Ammonium nitrate,0.0,0.004467208759527
Ammonia,2040,Saudi Arabia,"BAU,LC",3_downstream,tN2O/tNH3,Ammonia,,0.0104978823529411
Urea,2040,Saudi Arabia,FA,3_downstream,tN2O/tUrea,Urea,,0.0059389018302828
Ammonium nitrate,2040,Saudi Arabia,FA,3_downstream,tN2O/tAN,Ammonium nitrate,,0.004467208759527
Ammonia,2040,Saudi Arabia,FA,3_downstream,tN2O/tNH3,Ammonia,,0.0104978823529411
Urea,2040,Namibia,"BAU,LC",3_downstream,tN2O/tUrea,Urea,0.0,0.0056665557404326
Ammonium nitrate,2040,Namibia,"BAU,LC",3_downstream,tN2O/tAN,Ammonium nitrate,0.0,0.004262351553099
Ammonia,2040,Namibia,"BAU,LC",3_downstream,tN2O/tNH3,Ammonia,,0.0100164705882352
Urea,2040,Namibia,FA,3_downstream,tN2O/tUrea,Urea,,0.0056665557404326
Ammonium nitrate,2040,Namibia,FA,3_downstream,tN2O/tAN,Ammonium nitrate,,0.004262351553099
Ammonia,2040,Namibia,FA,3_downstream,tN2O/tNH3,Ammonia,,0.0100164705882352
Urea,2040,Australia,"BAU,LC",3_downstream,tN2O/tUrea,Urea,0.0,0.0056929276263087
Ammonium nitrate,2040,Australia,"BAU,LC",3_downstream,tN2O/tAN,Ammonium nitrate,0.0,0.0042821883382417
Ammonia,2040,Australia,"BAU,LC",3_downstream,tN2O/tNH3,Ammonia,,0.0100630867747397
Urea,2040,Australia,FA,3_downstream,tN2O/tUrea,Urea,,0.0056929276263087
Ammonium nitrate,2040,Australia,FA,3_downstream,tN2O/tAN,Ammonium nitrate,,0.0042821883382417
Ammonia,2040,Australia,FA,3_downstream,tN2O/tNH3,Ammonia,,0.0100630867747397
Urea,2041,China,"BAU,LC",3_downstream,tN2O/tUrea,Urea,0.0,0.0063474209650582
Urea,2041,North America,"BAU,LC",3_downstream,tN2O/tUrea,Urea,0.0,0.0057412129980287
Urea,2041,Rest of Asia,"BAU,LC",3_downstream,tN2O/tUrea,Urea,0.0,0.0074236272878535
Urea,2041,Russia,"BAU,LC",3_downstream,tN2O/tUrea,Urea,0.0,0.0057104825291181
Urea,2041,Europe,"BAU,LC",3_downstream,tN2O/tUrea,Urea,0.0,0.0056841264559068
Urea,2041,India,"BAU,LC",3_downstream,tN2O/tUrea,Urea,0.0,0.0069448252911813
Urea,2041,Middle East,"BAU,LC",3_downstream,tN2O/tUrea,Urea,0.0,0.0059389018302828
Urea,2041,Africa,"BAU,LC",3_downstream,tN2O/tUrea,Urea,0.0,0.0056665557404326
Urea,2041,Latin America,"BAU,LC",3_downstream,tN2O/tUrea,Urea,0.0,0.005872811928453
Urea,2041,Oceania,"BAU,LC",3_downstream,tN2O/tUrea,Urea,0.0,0.0056929276263087
Ammonium nitrate,2041,China,"BAU,LC",3_downstream,tN2O/tAN,Ammonium nitrate,0.0,0.004774494569169
Ammonium nitrate,2041,North America,"BAU,LC",3_downstream,tN2O/tAN,Ammonium nitrate,0.0,0.0043185083249444
Ammonium nitrate,2041,Rest of Asia,"BAU,LC",3_downstream,tN2O/tAN,Ammonium nitrate,0.0,0.0055840109494088
Ammonium nitrate,2041,Russia,"BAU,LC",3_downstream,tN2O/tAN,Ammonium nitrate,0.0,0.0042953930380067
Ammonium nitrate,2041,Europe,"BAU,LC",3_downstream,tN2O/tAN,Ammonium nitrate,0.0,0.0042755681470621
Ammonium nitrate,2041,India,"BAU,LC",3_downstream,tN2O/tAN,Ammonium nitrate,0.0,0.0052238587639143
Ammonium nitrate,2041,Middle East,"BAU,LC",3_downstream,tN2O/tAN,Ammonium nitrate,0.0,0.004467208759527
Ammonium nitrate,2041,Africa,"BAU,LC",3_downstream,tN2O/tAN,Ammonium nitrate,0.0,0.004262351553099
Ammonium nitrate,2041,Latin America,"BAU,LC",3_downstream,tN2O/tAN,Ammonium nitrate,0.0,0.0044174963047992
Ammonium nitrate,2041,Oceania,"BAU,LC",3_downstream,tN2O/tAN,Ammonium nitrate,0.0,0.0042821883382417
Ammonia,2041,China,"BAU,LC",3_downstream,tN2O/tNH3,Ammonia,,0.0112199999999999
Ammonia,2041,North America,"BAU,LC",3_downstream,tN2O/tNH3,Ammonia,,0.0101484382700448
Ammonia,2041,Latin America,"BAU,LC",3_downstream,tN2O/tNH3,Ammonia,,0.0103810587323537
Ammonia,2041,Africa,"BAU,LC",3_downstream,tN2O/tNH3,Ammonia,,0.0100164705882352
Ammonia,2041,Middle East,"BAU,LC",3_downstream,tN2O/tNH3,Ammonia,,0.0104978823529411
Ammonia,2041,Rest of Asia,"BAU,LC",3_downstream,tN2O/tNH3,Ammonia,,0.0131223529411764
Ammonia,2041,India,"BAU,LC",3_downstream,tN2O/tNH3,Ammonia,,0.0122759999999999
Ammonia,2041,Oceania,"BAU,LC",3_downstream,tN2O/tNH3,Ammonia,,0.0100630867747397
Ammonia,2041,Russia,"BAU,LC",3_downstream,tN2O/tNH3,Ammonia,,0.0100941176470588
Ammonia,2041,Europe,"BAU,LC",3_downstream,tN2O/tNH3,Ammonia,,0.0042755681470621
Urea,2041,China,FA,3_downstream,tN2O/tUrea,Urea,,0.0063474209650582
Urea,2041,North America,FA,3_downstream,tN2O/tUrea,Urea,,0.0057412129980287
Urea,2041,Latin America,FA,3_downstream,tN2O/tUrea,Urea,,0.005872811928453
Urea,2041,Africa,FA,3_downstream,tN2O/tUrea,Urea,,0.0056665557404326
Urea,2041,Middle East,FA,3_downstream,tN2O/tUrea,Urea,,0.0059389018302828
Urea,2041,Rest of Asia,FA,3_downstream,tN2O/tUrea,Urea,,0.0074236272878535
Urea,2041,India,FA,3_downstream,tN2O/tUrea,Urea,,0.0069448252911813
Urea,2041,Oceania,FA,3_downstream,tN2O/tUrea,Urea,,0.0056929276263087
Urea,2041,Russia,FA,3_downstream,tN2O/tUrea,Urea,,0.0057104825291181
Urea,2041,Europe,FA,3_downstream,tN2O/tUrea,Urea,,0.0056841264559068
Ammonium nitrate,2041,China,FA,3_downstream,tN2O/tAN,Ammonium nitrate,,0.004774494569169
Ammonium nitrate,2041,North America,FA,3_downstream,tN2O/tAN,Ammonium nitrate,,0.0043185083249444
Ammonium nitrate,2041,Latin America,FA,3_downstream,tN2O/tAN,Ammonium nitrate,,0.0044174963047992
Ammonium nitrate,2041,Africa,FA,3_downstream,tN2O/tAN,Ammonium nitrate,,0.004262351553099
Ammonium nitrate,2041,Middle East,FA,3_downstream,tN2O/tAN,Ammonium nitrate,,0.004467208759527
Ammonium nitrate,2041,Rest of Asia,FA,3_downstream,tN2O/tAN,Ammonium nitrate,,0.0055840109494088
Ammonium nitrate,2041,India,FA,3_downstream,tN2O/tAN,Ammonium nitrate,,0.0052238587639143
Ammonium nitrate,2041,Oceania,FA,3_downstream,tN2O/tAN,Ammonium nitrate,,0.0042821883382417
Ammonium nitrate,2041,Russia,FA,3_downstream,tN2O/tAN,Ammonium nitrate,,0.0042953930380067
Ammonium nitrate,2041,Europe,FA,3_downstream,tN2O/tAN,Ammonium nitrate,,0.0042755681470621
Ammonia,2041,China,FA,3_downstream,tN2O/tNH3,Ammonia,,0.0112199999999999
Ammonia,2041,North America,FA,3_downstream,tN2O/tNH3,Ammonia,,0.0101484382700448
Ammonia,2041,Latin America,FA,3_downstream,tN2O/tNH3,Ammonia,,0.0103810587323537
Ammonia,2041,Africa,FA,3_downstream,tN2O/tNH3,Ammonia,,0.0100164705882352
Ammonia,2041,Middle East,FA,3_downstream,tN2O/tNH3,Ammonia,,0.0104978823529411
Ammonia,2041,Rest of Asia,FA,3_downstream,tN2O/tNH3,Ammonia,,0.0131223529411764
Ammonia,2041,India,FA,3_downstream,tN2O/tNH3,Ammonia,,0.0122759999999999
Ammonia,2041,Oceania,FA,3_downstream,tN2O/tNH3,Ammonia,,0.0100630867747397
Ammonia,2041,Russia,FA,3_downstream,tN2O/tNH3,Ammonia,,0.0100941176470588
Ammonia,2041,Europe,FA,3_downstream,tN2O/tNH3,Ammonia,,0.0042755681470621
Ammonium nitrate,2041,China,,1,tN2O/tAN,Nitric acid,0.0,0.0047232112739402
Ammonium nitrate,2041,Rest of Asia,,1,tN2O/tAN,Nitric acid,0.0,0.0047232112739402
Ammonium nitrate,2041,North America,,1,tN2O/tAN,Nitric acid,0.0,0.0047232112739402
Ammonium nitrate,2041,Russia,,1,tN2O/tAN,Nitric acid,0.0,0.0047232112739402
Ammonium nitrate,2041,Europe,,1,tN2O/tAN,Nitric acid,0.0,0.0047232112739402
Ammonium nitrate,2041,India,,1,tN2O/tAN,Nitric acid,0.0,0.0047232112739402
Ammonium nitrate,2041,Middle East,,1,tN2O/tAN,Nitric acid,0.0,0.0047232112739402
Ammonium nitrate,2041,Africa,,1,tN2O/tAN,Nitric acid,0.0,0.0047232112739402
Ammonium nitrate,2041,Latin America,,1,tN2O/tAN,Nitric acid,0.0,0.0047232112739402
Ammonium nitrate,2041,Oceania,,1,tN2O/tAN,Nitric acid,0.0,0.0047232112739402
Ammonium nitrate,2041,Brazil,,1,tN2O/tAN,Nitric acid,0.0,0.0047232112739402
Ammonium nitrate,2041,Saudi Arabia,,1,tN2O/tAN,Nitric acid,0.0,0.0047232112739402
Ammonium nitrate,2041,Namibia,,1,tN2O/tAN,Nitric acid,0.0,0.0047232112739402
Ammonium nitrate,2041,Australia,,1,tN2O/tAN,Nitric acid,0.0,0.0047232112739402
Urea,2041,Brazil,"BAU,LC",3_downstream,tN2O/tUrea,Urea,0.0,0.005872811928453
Ammonium nitrate,2041,Brazil,"BAU,LC",3_downstream,tN2O/tAN,Ammonium nitrate,0.0,0.0044174963047992
Ammonia,2041,Brazil,"BAU,LC",3_downstream,tN2O/tNH3,Ammonia,,0.0103810587323537
Urea,2041,Brazil,FA,3_downstream,tN2O/tUrea,Urea,,0.005872811928453
Ammonium nitrate,2041,Brazil,FA,3_downstream,tN2O/tAN,Ammonium nitrate,,0.0044174963047992
Ammonia,2041,Brazil,FA,3_downstream,tN2O/tNH3,Ammonia,,0.0103810587323537
Urea,2041,Saudi Arabia,"BAU,LC",3_downstream,tN2O/tUrea,Urea,0.0,0.0059389018302828
Ammonium nitrate,2041,Saudi Arabia,"BAU,LC",3_downstream,tN2O/tAN,Ammonium nitrate,0.0,0.004467208759527
Ammonia,2041,Saudi Arabia,"BAU,LC",3_downstream,tN2O/tNH3,Ammonia,,0.0104978823529411
Urea,2041,Saudi Arabia,FA,3_downstream,tN2O/tUrea,Urea,,0.0059389018302828
Ammonium nitrate,2041,Saudi Arabia,FA,3_downstream,tN2O/tAN,Ammonium nitrate,,0.004467208759527
Ammonia,2041,Saudi Arabia,FA,3_downstream,tN2O/tNH3,Ammonia,,0.0104978823529411
Urea,2041,Namibia,"BAU,LC",3_downstream,tN2O/tUrea,Urea,0.0,0.0056665557404326
Ammonium nitrate,2041,Namibia,"BAU,LC",3_downstream,tN2O/tAN,Ammonium nitrate,0.0,0.004262351553099
Ammonia,2041,Namibia,"BAU,LC",3_downstream,tN2O/tNH3,Ammonia,,0.0100164705882352
Urea,2041,Namibia,FA,3_downstream,tN2O/tUrea,Urea,,0.0056665557404326
Ammonium nitrate,2041,Namibia,FA,3_downstream,tN2O/tAN,Ammonium nitrate,,0.004262351553099
Ammonia,2041,Namibia,FA,3_downstream,tN2O/tNH3,Ammonia,,0.0100164705882352
Urea,2041,Australia,"BAU,LC",3_downstream,tN2O/tUrea,Urea,0.0,0.0056929276263087
Ammonium nitrate,2041,Australia,"BAU,LC",3_downstream,tN2O/tAN,Ammonium nitrate,0.0,0.0042821883382417
Ammonia,2041,Australia,"BAU,LC",3_downstream,tN2O/tNH3,Ammonia,,0.0100630867747397
Urea,2041,Australia,FA,3_downstream,tN2O/tUrea,Urea,,0.0056929276263087
Ammonium nitrate,2041,Australia,FA,3_downstream,tN2O/tAN,Ammonium nitrate,,0.0042821883382417
Ammonia,2041,Australia,FA,3_downstream,tN2O/tNH3,Ammonia,,0.0100630867747397
Urea,2042,China,"BAU,LC",3_downstream,tN2O/tUrea,Urea,0.0,0.0063474209650582
Urea,2042,North America,"BAU,LC",3_downstream,tN2O/tUrea,Urea,0.0,0.0057412129980287
Urea,2042,Rest of Asia,"BAU,LC",3_downstream,tN2O/tUrea,Urea,0.0,0.0074236272878535
Urea,2042,Russia,"BAU,LC",3_downstream,tN2O/tUrea,Urea,0.0,0.0057104825291181
Urea,2042,Europe,"BAU,LC",3_downstream,tN2O/tUrea,Urea,0.0,0.0056841264559068
Urea,2042,India,"BAU,LC",3_downstream,tN2O/tUrea,Urea,0.0,0.0069448252911813
Urea,2042,Middle East,"BAU,LC",3_downstream,tN2O/tUrea,Urea,0.0,0.0059389018302828
Urea,2042,Africa,"BAU,LC",3_downstream,tN2O/tUrea,Urea,0.0,0.0056665557404326
Urea,2042,Latin America,"BAU,LC",3_downstream,tN2O/tUrea,Urea,0.0,0.005872811928453
Urea,2042,Oceania,"BAU,LC",3_downstream,tN2O/tUrea,Urea,0.0,0.0056929276263087
Ammonium nitrate,2042,China,"BAU,LC",3_downstream,tN2O/tAN,Ammonium nitrate,0.0,0.004774494569169
Ammonium nitrate,2042,North America,"BAU,LC",3_downstream,tN2O/tAN,Ammonium nitrate,0.0,0.0043185083249444
Ammonium nitrate,2042,Rest of Asia,"BAU,LC",3_downstream,tN2O/tAN,Ammonium nitrate,0.0,0.0055840109494088
Ammonium nitrate,2042,Russia,"BAU,LC",3_downstream,tN2O/tAN,Ammonium nitrate,0.0,0.0042953930380067
Ammonium nitrate,2042,Europe,"BAU,LC",3_downstream,tN2O/tAN,Ammonium nitrate,0.0,0.0042755681470621
Ammonium nitrate,2042,India,"BAU,LC",3_downstream,tN2O/tAN,Ammonium nitrate,0.0,0.0052238587639143
Ammonium nitrate,2042,Middle East,"BAU,LC",3_downstream,tN2O/tAN,Ammonium nitrate,0.0,0.004467208759527
Ammonium nitrate,2042,Africa,"BAU,LC",3_downstream,tN2O/tAN,Ammonium nitrate,0.0,0.004262351553099
Ammonium nitrate,2042,Latin America,"BAU,LC",3_downstream,tN2O/tAN,Ammonium nitrate,0.0,0.0044174963047992
Ammonium nitrate,2042,Oceania,"BAU,LC",3_downstream,tN2O/tAN,Ammonium nitrate,0.0,0.0042821883382417
Ammonia,2042,China,"BAU,LC",3_downstream,tN2O/tNH3,Ammonia,,0.0112199999999999
Ammonia,2042,North America,"BAU,LC",3_downstream,tN2O/tNH3,Ammonia,,0.0101484382700448
Ammonia,2042,Latin America,"BAU,LC",3_downstream,tN2O/tNH3,Ammonia,,0.0103810587323537
Ammonia,2042,Africa,"BAU,LC",3_downstream,tN2O/tNH3,Ammonia,,0.0100164705882352
